conv_id,turno,fecha,hora,canal,texto_entrada,texto_salida,intencion_detectada,confianza_watson,sentimiento,csat_estimado,transaccion_realizada,resolucion,duracion_min,num_turnos_conv
CONV-0001,1,2024-11-05,07:14:00,Web,Quiero mi estado de cuenta,Con gusto. ¿Deseas el estado de cuenta del mes actual o de un periodo anterior?,Consulta de estado de cuenta,0.9,neutro,4.0,Consulta de estado de cuenta,Resuelta,13,4
CONV-0001,2,2024-11-05,07:17:00,Web,Del mes pasado,Entendido. ¿Prefieres recibirlo por correo electrónico o descargarlo desde la app?,Consulta de estado de cuenta,0.93,neutro,4.2,Consulta de estado de cuenta,Resuelta,13,4
CONV-0001,3,2024-11-05,07:18:00,Web,Por correo por favor,Perfecto. ¿Confirmas que tu correo registrado es ana38@gmail.com?,Consulta de estado de cuenta,0.88,neutro,3.4,Consulta de estado de cuenta,Resuelta,13,4
CONV-0001,4,2024-11-05,07:17:00,Web,"Sí, ese es mi correo",✅ Estado de cuenta enviado a carlos21@gmail.com. Llegará en los próximos minutos. ¿Algo más?,Consulta de estado de cuenta,0.85,neutro,3.9,Consulta de estado de cuenta,Resuelta,13,4
CONV-0002,1,2024-10-08,05:24:00,App Móvil,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.99,positivo,4.9,Transferencia realizada,Resuelta,8,5
CONV-0002,2,2024-10-08,05:25:00,App Móvil,"Quiero transferir $16,109 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.82,positivo,4.5,Transferencia realizada,Resuelta,8,5
CONV-0002,3,2024-10-08,05:26:00,App Móvil,La CLABE es 923226025634216073,"Gracias. Confirma: transferencia de $21,612 MXN a CLABE 458685014294019655. ¿Es correcto?",Transferencia realizada,0.73,positivo,4.9,Transferencia realizada,Resuelta,8,5
CONV-0002,4,2024-10-08,05:30:00,App Móvil,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR966040317. ¿Algo más?,Transferencia realizada,0.99,positivo,4.0,Transferencia realizada,Resuelta,8,5
CONV-0002,5,2024-10-08,05:36:00,App Móvil,"No, eso es todo",¡Perfecto! Tu operación fue completada. Recibirás una notificación de confirmación. ¡Hasta luego!,Transferencia realizada,0.91,positivo,4.8,Transferencia realizada,Resuelta,8,5
CONV-0003,1,2024-11-23,13:21:00,Teléfono,Qué promociones tienen para el Buen Fin,"¡Hola! 🎉 Tenemos excelentes promociones para el Buen Fin. ¿Te interesa conocer meses sin intereses, cashback o descuentos en tiendas específicas?",Información de promociones Buen Fin,0.93,positivo,4.4,Información de promociones Buen Fin,Resuelta,8,4
CONV-0003,2,2024-11-23,13:24:00,Teléfono,Meses sin intereses,"¡Perfecto! Con tu tarjeta Banorte tienes hasta 18 MSI en tiendas participantes como Liverpool, Palacio de Hierro, Coppel y más de 500 establecimientos.",Información de promociones Buen Fin,0.85,positivo,4.2,Información de promociones Buen Fin,Resuelta,8,4
CONV-0003,3,2024-11-23,13:27:00,Teléfono,¿Aplica en Amazon?,"Sí, Amazon participa con hasta 12 MSI en compras mayores a $500 MXN. ¿Te gustaría ver el catálogo completo de participantes?",Información de promociones Buen Fin,0.77,positivo,4.8,Información de promociones Buen Fin,Resuelta,8,4
CONV-0003,4,2024-11-23,13:24:00,Teléfono,Sí por favor,Aquí tienes el enlace: banorte.com/buenfin2024 📱 También puedes activar notificaciones en la app para no perderte ninguna oferta. ¿Algo más?,Información de promociones Buen Fin,0.84,positivo,4.9,Información de promociones Buen Fin,Resuelta,8,4
CONV-0004,1,2024-11-09,18:39:00,App Móvil,Tengo un cargo que no reconozco,Lamento el inconveniente. ¿Me puedes decir el monto del cargo y la fecha aproximada?,Aclaración de cargo,0.95,negativo,2.4,Aclaración de cargo,Resuelta,11,5
CONV-0004,2,2024-11-09,18:42:00,App Móvil,"Es un cargo de $30,934 del 06/10/2024",Entiendo. Voy a revisar el detalle de ese movimiento. Un momento por favor...,Aclaración de cargo,0.91,negativo,3.3,Aclaración de cargo,Resuelta,11,5
CONV-0004,3,2024-11-09,18:43:00,App Móvil,Encontré el cargo en tu cuenta. Aparece como AMAZON MX. ¿Recuerdas haber comprado ahí?,"No, definitivamente no reconozco ese cargo",Aclaración de cargo,0.94,negativo,2.9,Aclaración de cargo,Resuelta,11,5
CONV-0004,4,2024-11-09,18:42:00,App Móvil,Procederé a generar una aclaración formal. Folio: BNR773020489. El proceso tarda de 5 a 10 días hábiles.,¿Me harán un cargo temporal?,Aclaración de cargo,0.96,negativo,2.8,Aclaración de cargo,Resuelta,11,5
CONV-0004,5,2024-11-09,18:51:00,App Móvil,"No, no se realizará ningún cargo temporal durante la investigación. Te notificaremos por SMS el resultado.",Muchas gracias,Aclaración de cargo,0.83,negativo,3.0,Aclaración de cargo,Resuelta,11,5
CONV-0005,1,2024-12-07,16:58:00,WhatsApp,Quiero hacer una transferencia,"Claro, puedo ayudarte con eso. ¿A qué banco deseas transferir y cuál es el monto?",Transferencia realizada,0.85,positivo,4.3,Transferencia realizada,Resuelta,15,5
CONV-0005,2,2024-12-07,17:00:00,WhatsApp,"Quiero transferir $29,243 pesos a BBVA",Entendido. Para proceder necesito la CLABE interbancaria del destinatario de 18 dígitos.,Transferencia realizada,0.85,positivo,4.9,Transferencia realizada,Resuelta,15,5
CONV-0005,3,2024-12-07,17:02:00,WhatsApp,La CLABE es 847007661771159212,"Gracias. Confirma: transferencia de $7,598 MXN a CLABE 836736576615654527. ¿Es correcto?",Transferencia realizada,0.92,positivo,4.5,Transferencia realizada,Resuelta,15,5
CONV-0005,4,2024-12-07,17:04:00,WhatsApp,"Sí, es correcto",Procesando tu transferencia... ✅ Transferencia realizada exitosamente. Folio: BNR269016920. ¿Algo más?,Transferencia realizada,0.97,positivo,4.8,Transferencia realizada,Resuelta,15,5
CONV-0005,5,2024-12-07,17:10:00,WhatsApp,"No, eso es todo",¡Perfecto! Tu operación fue completada. Recibirás una notificación de confirmación. ¡Hasta luego!,Transferencia realizada,0.91,positivo,4.1,Transferencia realizada,Resuelta,15,5
CONV-0006,1,2024-11-21,00:20:00,Web,Necesito pagar mi tarjeta de crédito,"Con gusto te ayudo. ¿Deseas pagar el mínimo, el total o un monto específico?",Pago tarjeta de crédito,0.82,positivo,4.3,Pago tarjeta de crédito,Resuelta,14,4
CONV-0006,2,2024-11-21,00:22:00,Web,Quiero pagar el total,"El saldo total de tu tarjeta es $102,010.43 MXN. ¿Confirmas el pago completo desde tu cuenta de débito?",Pago tarjeta de crédito,0.74,positivo,3.9,Pago tarjeta de crédito,Resuelta,14,4
CONV-0006,3,2024-11-21,00:26:00,Web,"Sí, confirmo","Procesando pago... ✅ Pago realizado por $101,569.79 MXN. Folio: BNR573087862. Tu saldo quedará en $0. ¿Algo más?",Pago tarjeta de crédito,0.83,positivo,4.2,Pago tarjeta de crédito,Resuelta,14,4
